coord,row_letter,step_number,persona_id,persona_name,sector,monolith_platform,physical_asset,action_name,status,capital_at_risk_cr,impact_display,speed_display,vulnerability,agentic_plug,agent_registry_id,agent_registry_uri,agent_deployment_status,agent_iam_identity,agent_framework
A1,A,1,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Synthetic Seismogram Sonic Well-Tie,critical,35,₹35 Cr / yr,4.1s vs 3 Hrs,Wavelet extraction eyeballed; time-depth mismatch shifts drill target 50m.,Deterministic synthetic tie agent with automated phase rotation & cross-correlation QC.,,,,,
A2,A,2,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Time-to-Depth Velocity Model Stacking,critical,80,₹80 Cr / yr,12s vs 2 Days,Anisotropic velocity errors cause deepwater well to miss salt flank.,Tomographic velocity model updating agent incorporating real-time checkshot data.,,,,,
A3,A,3,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,AVO Intercept vs Gradient Attribute,friction,20,₹20 Cr / yr,6s vs 4 Hrs,Class II/III gas sand bright spots manually picked; prone to false fizz gas.,Zoeppritz equation inversion agent classifying AVO fluid anomalies in seconds.,,,,,
A4,A,4,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Seismic Multi-Attribute Fault Extraction,friction,18,₹18 Cr / yr,15s vs 1 Day,Ant-tracking parameters tuned by trial and error; misses sub-seismic fault sealing.,Convolutional seismic discontinuity agent extracting 3D fault planes & slip vectors.,,,,,
A5,A,5,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Horizon Auto-Tracking Across Unconformities,baseline,10,₹10 Cr / yr,8s vs 3 Hrs,Cycle-skipping across salt domes and volcanic sills loses key reservoir top.,Phase-consistent auto-tracker with coherence boundary veto preventing cycle skip.,,,,,
A6,A,6,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Checkshot & VSP Drift Curve Calibration,baseline,12,₹12 Cr / yr,3s vs 1 Hr,Zero-offset VSP transit times manually spliced into sonic transit time logs.,Automated drift curve calculator with transit-time reconciliation.,,,,,
A7,A,7,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Post-Stack Spectral Decomposition,baseline,15,₹15 Cr / yr,5s vs 2 Hrs,Continuous wavelet transform parameters tuned manually per reservoir zone.,Iso-frequency spectral decomposition sentinel isolating thin-bed channels.,,,,,
A8,A,8,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Pre-Stack Seismic Inversion Elastic Impedance,friction,25,₹25 Cr / yr,20s vs 2 Wks,Acoustic impedance (AI) and Vp/Vs inversion takes 14 days on cluster.,Accelerated model-based inversion agent generating acoustic/shear impedance cubes.,,,,,
A9,A,9,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Seismic Coherence / Edge Detection QC,baseline,8,₹8 Cr / yr,4s vs 1 Hr,Variance and chaos cubes run with default spatial windows, blurring faults.,Adaptive spatial window coherence agent maximizing fault-to-noise contrast.,,,,,
A10,A,10,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,4D Time-Lapse Seismic Difference Splicing,critical,50,₹50 Cr / yr,18s vs 5 Days,Non-repeatability noise between baseline and monitor surveys masks water sweep.,4D normalized root-mean-square cross-equalization & water-front tracker.,,,,,
A11,A,11,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Diffracted Wavefield Separation,baseline,12,₹12 Cr / yr,6s vs 2 Hrs,Reflection energy overwhelms faint fault diffractors; misses fracture corridors.,Plane-wave destruction filter agent isolating diffracted wavefields.,,,,,
A12,A,12,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Direct Hydrocarbon Indicator (DHI) Audit,friction,14,₹14 Cr / yr,5s vs 4 Hrs,Flat spots and phase reversals documented manually in static PowerPoint decks.,DHI consistency validation agent verifying structural concordance.,,,,,
A13,A,13,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Shallow Gas & Mud Volcano Hazard Screening,critical,65,₹65 Cr / yr,8s vs 1 Day,Shallow bright spots overlooked in top-hole drilling plan; blowout risk.,Top-hole shallow gas anomaly scanner mapping hazard cones for wellhead positioning.,,,,,
A14,A,14,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Seismic Data SEG-Y Header & Coordinate Fix,friction,9,₹9 Cr / yr,2s vs 3 Days,Inconsistent shotpoint/CDP byte positions and CRS projections delay project 3 days.,Automated SEG-Y byte-scanner & EPSG coordinate transform agent with instant repair.,,,,,
A15,A,15,p01,Exploration Geophysicist,SUBSURFACE GEOSCIENCES,Petrel / DecisionSpace / SeisSpace,Seismic Ocean Survey Fleet & Streamer Arrays,Depth Uncertainty P10/P50/P90 Volume Map,baseline,15,₹15 Cr / yr,10s vs 2 Days,Velocity uncertainty envelopes calculated manually for exploration bid round.,Monte Carlo velocity perturbation agent generating structural closure probability maps.,,,,,
B1,B,1,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Basin 1D/3D Thermal Maturation Modeling,friction,18,₹18 Cr / yr,12s vs 2 Days,Vitrinite reflectance and heat flow curves matched manually in Excel.,Kinetic maturation solver estimating peak oil/gas expulsion windows.,,,,,
B2,B,2,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Fault Juxtaposition (Allan Diagram) Mapping,critical,75,₹75 Cr / yr,6s vs 3 Days,Sand-on-sand leak across fault plane unmapped; dry appraisal well drilled.,Automated Allan diagram juxtaposition engine mapping sand-shale smear.,,,,,
B3,B,3,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Shale Gouge Ratio (SGR) Membrane Seal Calc,critical,50,₹50 Cr / yr,4s vs 1 Day,SGR calculated with constant mud volume; underestimates hydrocarbon column.,Deterministic SGR fault-leak calculator with capillary entry pressure thresholds.,,,,,
B4,B,4,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Paleostress Inversion & Fracture Tendency,friction,22,₹22 Cr / yr,8s vs 4 Hrs,Slip tendency angles calculated manually from borehole dips.,3D stress tensor agent mapping reactivated fracture corridors for drilling risk.,,,,,
B5,B,5,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Source Rock Total Organic Carbon (TOC) Map,baseline,14,₹14 Cr / yr,3s vs 2 Hrs,Passey method parameters varied arbitrarily across wildcat exploration blocks.,Passey equation solver calculating TOC distribution from sonic-resistivity overlays.,,,,,
B6,B,6,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Hydrocarbon Migration Pathway 3D Ray-Trace,baseline,16,₹16 Cr / yr,14s vs 1 Day,Secondary migration ray-tracing lost across subtle structural saddles.,Buoyancy-driven secondary migration stream tracer mapping fill-and-spill closures.,,,,,
B7,B,7,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Geopressure Pore-Pressure Modeling (Eaton),critical,85,₹85 Cr / yr,5s vs 6 Hrs,Eaton exponent miscalculated; unexpected overpressure causes severe rig kick.,Eaton & Bowers pore pressure modeler cross-validating compaction trends vs mudweights.,,,,,
B8,B,8,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Palinspastic Structural Restoration (2D/3D),friction,20,₹20 Cr / yr,30s vs 2 Wks,Flexural slip unfolding of fault blocks takes weeks; structural timing missed.,Kinematic structural restoration agent checking geometry validity and trap timing.,,,,,
B9,B,9,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Sediment Compaction & Porosity Decay Curve,baseline,11,₹11 Cr / yr,2s vs 1 Hr,Sclater-Christie compaction coefficients misapplied across mixed carbonates.,Multi-lithology porosity decay solver computing effective overburden stress paths.,,,,,
B10,B,10,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Unconformity Eroded Thickness Estimation,friction,15,₹15 Cr / yr,7s vs 3 Hrs,Vitrinite reflectance slope break manually eyeballed to estimate missing overburden.,Kinetic maturity inversion agent estimating net exhumation and uplift thickness.,,,,,
B11,B,11,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Trap Volume Spill-Point Calculation,baseline,18,₹18 Cr / yr,4s vs 2 Hrs,Multi-fault trap spill points manually evaluated; column volume overbooked.,Topographic spill-point crawler identifying maximum gross rock volume (GRV).,,,,,
B12,B,12,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Core Fracture Network Density & Aperture QC,baseline,12,₹12 Cr / yr,9s vs 5 Hrs,Micro-fracture counts from whole core photos transcribed manually into logs.,Computer-vision core image fracture analyzer computing fracture frequency.,,,,,
B13,B,13,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Top Seal Caprock Micro-Pore Breakthrough,critical,60,₹60 Cr / yr,5s vs 1 Day,Mercury injection capillary pressure leak curves unlinked to mud density.,Caprock seal capacity evaluator determining maximum sustainable gas column height.,,,,,
B14,B,14,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Geochemical Biomarker Oil-Source Correlation,baseline,10,₹10 Cr / yr,3s vs 2 Hrs,GC-MS sterane ratios tabulated in Word and loose spreadsheets.,Geochemical biomarker fingerprinting agent correlating oils to distinct source beds.,,,,,
B15,B,15,p02,Structural & Basin Geologist,SUBSURFACE GEOSCIENCES,Move / PetroMod / Trinity,Subsea Exploration Wildcat Wellhead Stack,Regional Pressure-Depth Hydrostatic Gradient,baseline,14,₹14 Cr / yr,2s vs 1 Hr,Water/Oil/Gas density line intersections calculated on loose paper plots.,Modular formation gradient analyzer computing exact regional hydrodynamic contacts.,,,,,
C1,C,1,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Multi-Well Stratigraphic Sequence Tops Pick,friction,24,₹24 Cr / yr,11s vs 3 Days,Human correlation fatigue across 80 wells creates cross-fault misties.,Dynamic time-warping sequence correlation agent matching markers.,,,,,
C2,C,2,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Variogram Modeling for Facies Kriging,friction,19,₹19 Cr / yr,8s vs 4 Hrs,Major/minor range and nugget chosen subjectively; unrealistic channel bodies.,Automated spatial variogram optimizer fitting empirical variograms to well data.,,,,,
C3,C,3,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Sequential Indicator Simulation (SIS) Facies,baseline,22,₹22 Cr / yr,18s vs 1 Day,Facies distribution unconditioned to seismic impedance; misplaces infill producer.,Multi-point geostatistics agent conditioning facies directly to acoustic impedance.,,,,,
C4,C,4,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Net-to-Gross (NTG) Cutoff Optimization,baseline,16,₹16 Cr / yr,4s vs 2 Hrs,Arbitrary 10% porosity / 50% Vsh cutoffs discard marginal net pay barrels.,Pay-cutoff optimization agent correlating flow capacity to recovery.,,,,,
C5,C,5,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Horizon Resampling into Corner-Point Grids,friction,15,₹15 Cr / yr,6s vs 5 Hrs,Pillar gridding introduces negative cell volumes; halts reservoir simulation.,Grid geometry validation agent repairing collapsed cells and negative Jacobians.,,,,,
C6,C,6,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Offset Well Mudlog Gas Hazard Correlation,critical,70,₹70 Cr / yr,5s vs 4 Days,2004 scanned mudlog shows gas kick at 3,250m; ignored in infill well plan.,Offset Hazard Mudlog Scout: OCRs archival PDF mudlogs, flags kick depths in 3D.,,,,,
C7,C,7,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Depositional Facies Proportion Curve QC,baseline,11,₹11 Cr / yr,3s vs 1 Hr,Vertical proportion curves skewed by clustering of appraisal wells.,Debiaising spatial weighting agent generating representative regional VPC curves.,,,,,
C8,C,8,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Fluid Contact Depth Surface Interpolation,critical,55,₹55 Cr / yr,7s vs 1 Day,Tilted oil-water contact due to hydrodynamic flow modeled as flat plane.,Hydrodynamic potentiometric surface agent mapping true 3D fluid contact dip.,,,,,
C9,C,9,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Carbonate Karst & Vuggy Porosity Modeling,friction,18,₹18 Cr / yr,12s vs 6 Hrs,Secondary porosity distribution disconnected from fracture intensity maps.,Discrete fracture-vug network agent distributing secondary karst porosity.,,,,,
C10,C,10,p03,Development & Reservoir Geologist,SUBSURFACE GEOSCIENCES,Petrel Geology / RMS / Gocad,Deepwater Semi-Submersible Floating Rig,Upscaling Petrophysical Properties for Sim,friction,25,₹25 Cr / yr,15s vs 1 Day,Arithmetic averaging of perm ruins reservoir water breakthrough prediction.,Flow-based tensor upscaling agent preserving fine-scale flow barriers.,,,,,
